topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
Boomer,trumpliesamericansdie,1298965693904433152,./data_Boomer/trumpliesamericansdie/tweets4/Egbaag1WoAIaO1c.jpg,,@CDCgov changes guidelines under direction of @realDonaldTrump a government agency bows down to the whim of a dictator #CDCBowsToTrump #TrumpLiesAmericansDie #TrumpLiesPeopleDie https://t.co/P7tqS2iENh,,ME FoR ie DOING oR ge As ey
AsianHate,chinesevirus,1297472566743961600,./data_AsianHate/chinesevirus/tweets4/EgGLs-LXgAIL3jL.png,,@chothep @bennetowuonda @SolomonKarori2 @Olaf_Ke @MwangP01 @Luther_Gen @slmiheso @WilsonWaGitau on another issue... these pics are making rounds all over social media even as billions meant for #ChineseVirus are being shared by the elite even before they touch the ground. &amp; some will arrogantly claim nani hawezi pata 50bob ya mask. yeah we always blame the victims https://t.co/omq5MsIMeo,,ni iF ae
Political,maga,1289618559597912064,./data_Political/maga/tweets1/EeWlPqOUEAICsE5.jpg,,"@RetiredMaybe The @thejuicemedia prepared similar videos showing trump administrations EPIC FAILURES 

Example

https://t.co/eiAf2mavAu

Completely outlines failed religious conservative republican ideology (you’re lazy) &amp; damage done to America

#SaturdayThought #2020Election #COVID19 #MAGA https://t.co/fsDpw1YSFs",,THE WHITE HOUSE PANDEMIC RESPONSE Get Honest Government Ad message from the White House day ago lad aye Sire
AsianHate,ChinaVirus,1294875623417159681,./data_AsianHate/ChinaVirus/tweets3/EfhScg9XYAADhxf.jpg,,"@Britnabee @BernardKerik @realDonaldTrump Oh, #ChinaVirus, Biden’s country https://t.co/yjPmj1bidK",,Top three in right now fisherman interpreter for Joe
AsianHate,ChinaLiedPeopleDied,1299993046776389633,./data_AsianHate/ChinaLiedPeopleDied/tweets5/EgqAyPfU4AAlqe5.jpg,,Sri Lanka's India first policy has massive implications for regional security. Great step to protect South China Sea and hegemony of China in the region. #SouthChinaSea #ChinaLiedPeopleDied #SriLanka #ChineseButcher https://t.co/PAaA58CPSw,,Will have UG aCe ES ae st tat yn wae Ay right seen here with his brother said Sri ra Beam ak oe aL
Vaccine,VaccinesWork,1295391201655508992,./data_Vaccine/VaccinesWork/tweets3/EfonbtJWsAAfuso.jpg,./annotation_data/Vaccine/EfonbtJWsAAfuso.jpg,"Fearing a ‘Twindemic,’ Health Experts Push Urgently for #FluShots | @nytimes #COVID19 #VaccinesWork https://t.co/ewXFSJhVXe https://t.co/2Ove2PAOpB",,ae fi
Boomer,karen,1295812713319292928,./data_Boomer/karen/tweets3/Efpz0s2XgAI1l-7.jpg,,"Watch full video here: https://t.co/aRU8fJgiqy

#karenmemes #karensgonewild #karenmeme #freakout #freakouts #karenmemes #calmdownkaren #wayment #karen #karens #amycooper #tiktok #karenculture #Publicfreakout #Publicfreakouts #Karenfreakout #Karenfreakouts https://t.co/k2ePQGDaQ1",,
Immigration,buildthewall,1291102942431531009,./data_Immigration/buildthewall/tweets1/EerrSNoXYAQRDAz.jpg,./annotation_data/Immigration/EerrSNoXYAQRDAz.jpg,"Deming, NM
28 January 2020

Border Barrier Construction: El Paso 1

A workman smooths the top of the concrete footing

BLOG https://t.co/Kw0s0Y56pX

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-1359 by #borderObserver https://t.co/mjg6rYq7Qi",,ye tee
Immigration,americafirst,1297402556918804482,./data_Immigration/americafirst/tweets4/EgFMvv1U4AEBe3w.jpg,./annotation_data/Immigration/EgFMvv1U4AEBe3w.jpg,"Dan Demers found out today on @AKW_Glory #AKWVelocity that when your #PresidentOfTheArena signs an #ExecutiveOrder, its over. There are no second chances to foreigners spitting on America. #TheAKWUSChampionYouDeserve #AmericaFirst #GodBlessAmerica https://t.co/hOTkGVlijk",,Ad ae
Immigration,immigration,1297503994735140864,./data_Immigration/immigration/tweets4/EgGpAWHXYAABXiQ.jpg,./annotation_data/Immigration/EgGpAWHXYAABXiQ.jpg,"Amnesty Solicitors has a reputation for their litigation work. 
Find out more on our website 👉 https://t.co/rEfbBc7QYv
#immigration #uk #litigation #solicitors https://t.co/lFinZhweGI",,Legal for all Litigation
Boomer,karen,1297236717695414273,./data_Boomer/karen/tweets4/EgC03XHU4AAZNEL.jpg,,"Your DOLCE &amp; GABBANA Perfume
♪😅 

#瑛人 #香水 #KAREN #藤井夏恋 https://t.co/TgvdqyPjas",,an it
Boomer,trumpliesamericansdie,1292236130772045830,./data_Boomer/trumpliesamericansdie/tweets2/Ee7x5wmWsAIb90F.jpg,,"@JHoganGidley @realDonaldTrump Stop trying to shove this monster down our throats.

We hate him. We really hate him.

#TrumpGenocide
#TrumpGestapo #TrumpIsAMasdMurderer #TrumpLiesAmericansDie https://t.co/Sv6qAF0RfH",,AND COUNTING
Mask,NoMasks,1289509188712804352,./data_Mask/NoMasks/tweets1/EeVBxTaUcAAQCcm.jpg,,"@DanielAndrewsMP folks!!!
Your supreme ruler. At least he shares my sentiments on the #NoMasks ordeal.
While he plans his next move to decimate the city I grew up in, just remember we see this. 
You will answer for your crimes. 
#resignDanAndrews #corrupt https://t.co/Huy6mL4VUW",,COs he Ay anes
AsianHate,chinesevirus,1289747689966407684,./data_AsianHate/chinesevirus/tweets1/EeYaaxGWkAEdc_w.jpg,,"@globaltimesnews Not only you, #India's Vaccine is ready for #ChineseVirus https://t.co/LXphITPPL7",,MOOR PAN Par eater od Te broke BE Ce bE od fe are wet Weta ara Channel No Stag Channel No
Mask,maskup,1297346803327627265,./data_Mask/maskup/tweets4/EgEaB1KUwAM5PRO.jpg,,"It’s weird to be excited about my mask collection, but I am not afraid to wear them. It feels good to rep @CATA_AT around @CSUMB and the rest of #Monterey 😎 #at4all #MaskUp https://t.co/LuIRt5uSXe",,at ay es ae ATHLETIC
Mask,maskup,1296511427692376072,./data_Mask/maskup/tweets3/Ef4iRQ_WAAYXSMG.jpg,,"My daughter started virtual school yesterday. It’s been going smoothly so far and she loves having her BFF at her side. He’s been a good student too. Good luck to all you parents out there doing what’s best for YOUR family! We all got this! Oh, and #wearyourmask #MaskUp https://t.co/TZ1tzlPpvq",,aa ae ae Mi ree titer ea Ti for oe
Immigration,cdnpoli,1295058461932298240,./data_Immigration/cdnpoli/tweets3/Efj4zLBX0AAxuSl.jpg,./annotation_data/Immigration/Efj4zLBX0AAxuSl.jpg,"#cdnpoli
#Canada
#USPolitics
#StreetArt

Amazing - 2
. https://t.co/KTxyoFN3Ns",,at
Immigration,cdnpoli,1290952614457344001,./data_Immigration/cdnpoli/tweets1/EepijpqXgAAEWen.jpg,./annotation_data/Immigration/EepijpqXgAAEWen.jpg,"Physical distancing, mask-wearing could be in place for 2-3 years even with vaccine, Tam warns
https://t.co/nlyzjs5GSa #covid19 #pandemic #cdnpoli https://t.co/LyxQggLB4Y",,
Political,maga,1300077419638988800,./data_Political/maga/tweets5/EgrNg8pU0AAuAqk.jpg,,"@SenJohnBarrasso Wyoming Dept of Health urges masks and caution.

Dr. barASSo denies the science, throwing caution (and #coronavirus) to the wind.

Quack!

#BidenHarris2020 #TrumpFailure
#TrumpIsUnwell #maga #kag #Resist #gop #BidenVoters #Biden
#Trump https://t.co/oxZseoNSZc https://t.co/1aaofYKTf6",,na ITS FUNNY BECAUSE
Political,Trump2020,1299645495736893441,./data_Political/Trump2020/tweets5/EglEqbsU8AEIqZ6.png,,"Lead generation marketing is the most important in any marketing arsenal. If you are own a business then you must need high quality leads to increases your sales. I shall assist you to find the right leads. 
https://t.co/XF8R4vBYAm
#leadgeneration #digitalmarketing #Trump2020 https://t.co/lRpt6Fck9y",,Generation Prospect List er Business EME alert ae
Political,maga,1295791990718832640,./data_Political/maga/tweets3/EfuTeAuWsAAeAwr.jpg,,"@MadeInMexLoveUS @billnkate @DanScavino And just like that the narrative changes. #Chameleon
#QAnonCult #MAGA #RacistInChief https://t.co/cjcMhagL3X",,ae me all these people from come here TRUMP WHITE HOUSE
Mask,facemasks,1298546453690953728,./data_Mask/facemasks/tweets4/EgVdG_FXgAAbuPa.jpg,,The new normal! #StaySafe #washyourhands #facemasks https://t.co/lnKAg8RkUP,,ta
Boomer,karen,1292921905025101826,./data_Boomer/karen/tweets2/EfFhnfsXgAUtXxN.jpg,,@TomiLahren is the new #KAREN for CON-SERVATISM https://t.co/b3Tvu1n4Y9,,
Mask,maskup,1289666783243313159,./data_Mask/maskup/tweets1/EeXRGrwWAAAWa9t.jpg,,"@AndreaHayes9 @ExeterCouncil @ExeterCX @ExeterCCM @visitexeter #Turban Models Own
#MaskUp https://t.co/YdlEQolXgf",,me ti
Boomer,karen,1297879619413123073,./data_Boomer/karen/tweets4/EgL-oeYWsAANG5p.jpg,,@Sith_Studio @AnnaKendrick47 would definitely do #Karen way better ❤ https://t.co/TszucEIYJb,,if
Mask,facemasks,1299625321352884224,./data_Mask/facemasks/tweets5/EgkqVl_XcAIQAmR.jpg,,"#giftideas #wallart #tshirts #apparel #homedecorideas #bags #mugs #tech #stationery #accessories #facemasks #findyourthing 

Design Green elf #elves #fantasy #BackToSchool #shoppingonline #PCMdesigner #redbubble #redbubbleartist 
https://t.co/cVI61aevIG https://t.co/t1WZJd9mYo",,oe ae She
AsianHate,ChinaLiedPeopleDied,1292339130467196928,./data_AsianHate/ChinaLiedPeopleDied/tweets2/Ee9PlrpUwAIVIR8.jpg,,@globaltimesnews Affiliated media house of a state that has annexed #HK unilaterally...fudged numbers for #WuhanVirus spread and deaths...fudged GDP...fudged almost everything...trying to show realism by fudging these numbers a little less #HKIndependence #ChinaLiedPeopleDied https://t.co/yUcc147LSW,,Global Times China media Recent survey in agree with delay to election welcome medical team from the feel no impact from national security law for Hong oppose US Fi Buffer
Political,trumpvirus,1296049515196305409,./data_Political/trumpvirus/tweets3/Efx-Ki4XYAAe08J.jpg,,"Got the last one on shelf, 8$ geez Lysol more than doubled in price #TrumpVirus https://t.co/rUwGK28Bd1",,if em Spry as
AsianHate,ChinaVirus,1300209632821088256,./data_AsianHate/ChinaVirus/tweets5/EgtEbQgWoAMTqJV.jpg,,@debragarrett @tedwheeler @realDonaldTrump @USNationalGuard That was the plan: Democrats release their domestic terrorists to run amok and blamed Trump for it just like #CCP unleashed their #ChinaVirus and they blamed Trump for the deaths. Dems keep trying to bring Trump down regardless of consequences because they basically hate America. https://t.co/heflaOKlSs,,FAULT oe ey ae AD ae
Mask,WearAMask,1290354988942872576,./data_Mask/WearAMask/tweets1/EehDBWCX0AEN-EZ.jpg,,"Be a Prince, #wearamask. 
😷
#maskmonday #prince #iwoulddie4u #librarybook #librariesrock https://t.co/zmt7jh8djN",,ae LOVE Prince book Quest ce scholar and this is the ne WOULD wi am ad FA ore Ne fi an ait car al pit ie an ti An
Boomer,trumpliesamericansdie,1295040873504350209,./data_Boomer/trumpliesamericansdie/tweets3/EfjozmfXsAEv8eP.jpg,,@HKrassenstein Jason Miller Lied?!....#TrumpSyncophant #TrumpLiesAmericansDie https://t.co/L8rzxeKp1N,,
Political,Trump2020,1289584882448924672,./data_Political/Trump2020/tweets1/EeWGnORUEAIeIlP.png,,"Unisex American Flag Tee White shirt
Order product here: https://t.co/VP9DI1e4KD
#trump2020
#Q
#thinblueline
#backtheblue https://t.co/mjwujIJe1Q",,Ta ah linn Vas we
Mask,masks,1290782087721750529,./data_Mask/masks/tweets1/EenHddHXkAMCerX.jpg,,"✨🃏🎭🎉⚜👑⚜🎉🎭🃏✨
 #MardiGras #Masks #Art #NOLA #Gifts 
#shoppingonline Check for daily #discount #sale #couponcode #gifts #giftideas #giftsforhim #giftsforher #shopping #holidays #Celebrations
🌏#WorldWide #shipping 🌏
👉 #Free #Personalization 👈
https://t.co/wTzZCQJpQq https://t.co/IaP0dTA3BC",,ae Mi ra
Immigration,cdnpoli,1296429423927885824,./data_Immigration/cdnpoli/tweets3/Ef3XsJ1XgAERMyD.jpg,./annotation_data/Immigration/Ef3XsJ1XgAERMyD.jpg,"The same journalists, politicians, political pundits that claimed Pierre Poilievre would be a great Prime Minister claim that Chrystia Freeland is not qualified to be the Minister of Finance! 🙄

#cdnpoli https://t.co/eCeR55cnST",,Career Politician lot Ne Scholar question specialist Best Selling bate rel machine ist Crayon aS
Mask,WearYourMask,1297927856543203331,./data_Mask/WearYourMask/tweets4/EgMo80qXgAAKIid.jpg,,"First day of classes! 

It's an exciting and interesting new semester. We hope you all have a safe and successful school year!

Make sure to #WearYourMask ! https://t.co/NctAko89Nw",,
Vaccine,CovidHoax,1293199426727612416,./data_Vaccine/CovidHoax/tweets2/EfJcpcbWkAAEe4K.jpg,./annotation_data/Vaccine/EfJcpcbWkAAEe4K.jpg,"#Covidhoax

If you told someone at the beginning of 2020 that they would have to produce a GP letter to a shop security guard in order to get food essentials like bread and milk they would have called you called you a Conspiracy Theorist. 

Now look where we are. https://t.co/5L1q7KQzro",,
